,SVN_st,SVN_young,SVN_working,SVN_elderly
0,0,32.98,109.97399999999999,119.24999999999999
1,0,32.54,109.34199999999998,118.84499999999998
2,0,32.23,109.225,119.018
3,0,31.85,108.97999999999999,119.05999999999999
4,0,31.26,108.168,118.488
5,0,30.55,107.101,117.64099999999999
6,0,30.46,107.751,118.62100000000001
7,0,29.72,106.637,117.647
8,0,29.11,106.19,117.38
9,0,24.39,90.285,99.99199999999999
10,0,24.11,90.126,99.989
11,0,24.18,90.09,99.997
12,0,23.96,89.90100000000001,99.99100000000001
13,0,23.84,89.72200000000001,99.992
14,0,23.76,89.499,99.98899999999999
15,0,23.7,89.279,99.999
16,0,23.65,89.108,99.988
17,0,23.58,88.935,99.995
18,0,23.51,88.757,99.98700000000001
19,0,23.45,88.619,99.989
20,0,23.36,88.62899999999999,99.98899999999999
21,0,22.98,88.95700000000001,99.98700000000001
22,0,22.81,89.295,99.985
23,0,22.66,89.643,99.993
24,0,22.49,89.851,99.981
25,0,22.32,89.876,99.986
26,0,21.83,89.941,99.991
27,0,21.6,89.81300000000002,99.99300000000002
28,0,21.37,89.665,99.995
29,0,21.06,89.432,99.992
30,0,20.75,89.293,99.99300000000001
31,0,20.31,89.062,99.99199999999999
32,0,19.78,88.756,99.986
33,0,19.31,88.429,99.989
34,0,18.78,88.094,99.984
35,0,18.39,87.681,99.991
36,0,17.8,87.30399999999999,99.98399999999998
37,0,17.24,86.96399999999998,99.98399999999998
38,0,16.79,86.596,99.986
39,0,16.38,86.28999999999999,99.99
40,0,15.92,86.016,99.986
41,0,15.56,85.691,99.991
42,0,15.17,85.363,99.993
43,0,14.76,85.11200000000001,99.992
44,0,14.46,84.821,99.991
45,0,14.23,84.525,99.98500000000001
46,0,14.01,84.24600000000001,99.986
47,0,13.91,83.969,99.98899999999999
48,0,13.94,83.668,99.988
49,0,13.97,83.49600000000001,99.986
50,0,14.1,83.442,99.99199999999999
51,0,14.23,83.372,99.992
52,0,14.37,83.04,99.99000000000001
53,0,14.53,82.71300000000001,99.99300000000001
54,0,14.67,82.317,99.987
55,0,14.79,81.84299999999999,99.993
56,0,14.89,81.32000000000001,99.99000000000001
57,0,14.98,80.843,99.983
58,0,15.06,80.318,99.988
