,ESP_st,ESP_young,ESP_working,ESP_elderly
0,0,27.37,91.807,99.998
1,0,27.51,91.703,99.993
2,0,27.41,91.56,99.99000000000001
3,0,27.42,91.427,99.99600000000001
4,0,27.42,91.289,99.997
5,0,27.41,91.147,99.99400000000001
6,0,27.36,90.991,99.994
7,0,27.45,90.84100000000001,99.99700000000001
8,0,27.62,90.7,99.998
9,0,27.69,90.539,99.991
10,0,27.76,90.382,99.989
11,0,27.8,90.237,99.997
12,0,27.71,90.068,99.995
13,0,27.58,89.878,99.988
14,0,27.46,89.661,99.991
15,0,27.31,89.413,99.993
16,0,27.14,89.205,99.985
17,0,26.95,89.05799999999999,99.988
18,0,26.69,88.947,99.997
19,0,26.33,88.84700000000001,99.98700000000001
20,0,25.92,88.781,99.99100000000001
21,0,25.51,88.711,99.981
22,0,24.96,88.54600000000002,99.98600000000002
23,0,24.43,88.419,99.989
24,0,23.89,88.26100000000001,99.99100000000001
25,0,23.31,88.048,99.988
26,0,22.69,87.78699999999999,99.987
27,0,22.04,87.45400000000001,99.994
28,0,21.35,87.10499999999999,99.99499999999999
29,0,20.64,86.771,99.991
30,0,19.88,86.419,99.989
31,0,19.12,86.08500000000001,99.98500000000001
32,0,18.44,85.798,99.988
33,0,17.8,85.50399999999999,99.99399999999999
34,0,17.17,85.182,99.992
35,0,16.58,84.846,99.986
36,0,16.06,84.518,99.988
37,0,15.62,84.20800000000001,99.99800000000002
38,0,15.23,83.872,99.992
39,0,14.93,83.607,99.997
40,0,14.7,83.347,99.987
41,0,14.55,83.073,99.993
42,0,14.47,83.033,99.993
43,0,14.48,83.127,99.997
44,0,14.47,83.304,99.994
45,0,14.45,83.433,99.983
46,0,14.52,83.395,99.985
47,0,14.58,83.526,99.996
48,0,14.69,83.515,99.985
49,0,14.84,83.329,99.98899999999999
50,0,14.95,83.042,99.992
51,0,15.06,82.767,99.987
52,0,15.14,82.505,99.99499999999999
53,0,15.17,82.083,99.993
54,0,15.17,81.67399999999999,99.984
55,0,15.14,81.399,99.989
56,0,15.08,81.155,99.995
57,0,15.0,80.918,99.998
58,0,14.85,80.698,99.988
