,ITA_st,ITA_young,ITA_working,ITA_elderly
0,0,24.768,90.69,99.999
1,0,24.672,90.543,100.0
2,0,24.443,90.394,100.0
3,0,24.288,90.295,100.0
4,0,24.252,90.17999999999999,99.999
5,0,24.297,90.032,100.0
6,0,24.367,89.869,100.0
7,0,24.464,89.684,100.0
8,0,24.541,89.511,100.0
9,0,24.586,89.334,99.999
10,0,24.572,89.106,99.999
11,0,24.491,88.83999999999999,99.99999999999999
12,0,24.426,88.599,99.99900000000001
13,0,24.412,88.39,99.999
14,0,24.373,88.172,99.999
15,0,24.236,87.95400000000001,100.0
16,0,24.014,87.747,99.999
17,0,23.736,87.53200000000001,100.00000000000001
18,0,23.361,87.287,99.99900000000001
19,0,22.856,87.05000000000001,99.99900000000001
20,0,22.274,86.852,100.0
21,0,21.653,86.77000000000001,99.99900000000001
22,0,21.053,86.842,100.0
23,0,20.51,87.01,100.0
24,0,19.943,87.11,100.0
25,0,19.373,86.933,99.99900000000001
26,0,18.795,86.581,100.0
27,0,18.196,86.21799999999999,99.99999999999999
28,0,17.629,85.84500000000001,100.00000000000001
29,0,17.075,85.47,99.999
30,0,16.551,85.101,99.999
31,0,15.859000000000002,84.72800000000001,99.99900000000001
32,0,15.293,84.357,100.0
33,0,15.06,84.012,99.999
34,0,14.856,83.682,100.0
35,0,14.694,83.312,99.999
36,0,14.57,82.93799999999999,99.999
37,0,14.474,82.62,99.99900000000001
38,0,14.394,82.32700000000001,99.99900000000001
39,0,14.333,82.034,99.99900000000001
40,0,14.283,81.728,99.999
41,0,14.233,81.43,99.99900000000001
42,0,14.213,81.151,99.999
43,0,14.187,80.901,99.999
44,0,14.144,80.633,100.0
45,0,14.128,80.31,99.999
46,0,14.119000000000002,80.026,99.999
47,0,14.095999999999998,79.85700000000001,99.99900000000001
48,0,14.083,79.756,100.0
49,0,14.091,79.64399999999999,99.999
50,0,14.082,79.541,100.0
51,0,14.043,79.334,99.999
52,0,14.002,78.996,99.999
53,0,13.943,78.70400000000001,100.0
54,0,13.844,78.422,100.0
55,0,13.72,78.108,99.999
56,0,13.578,77.816,99.99900000000001
57,0,13.432,77.556,99.999
58,0,13.278,77.32400000000001,99.99900000000001
