,LTU_st,LTU_young,LTU_working,LTU_elderly
0,0,27.138,92.07400000000001,100.00000000000001
1,0,27.14,91.87,99.99900000000001
2,0,27.138,91.668,99.99900000000001
3,0,27.178,91.467,100.0
4,0,27.25,91.26100000000001,100.00000000000001
5,0,27.315,91.042,100.0
6,0,27.31,90.818,100.0
7,0,27.306,90.598,99.999
8,0,27.271,90.37100000000001,99.99900000000001
9,0,27.182,90.124,100.0
10,0,26.993,89.945,99.972
11,0,26.738000000000003,89.75800000000001,99.99900000000001
12,0,26.514,89.446,99.999
13,0,26.157,89.149,100.0
14,0,25.692,88.933,99.99900000000001
15,0,25.213,88.838,100.0
16,0,24.735,88.776,99.999
17,0,24.285,88.704,100.0
18,0,23.861,88.63600000000001,99.99000000000001
19,0,23.604,88.644,99.991
20,0,23.516,88.78399999999999,99.999
21,0,23.421,89.007,99.99900000000001
22,0,23.318,89.246,100.0
23,0,23.217,89.475,100.0
24,0,23.117,89.635,99.99900000000001
25,0,23.009,89.702,100.0
26,0,22.891,89.686,100.0
27,0,22.784,89.602,100.0
28,0,22.693,89.458,100.0
29,0,22.61,89.279,100.0
30,0,22.547,89.077,100.0
31,0,22.492,88.85000000000001,99.99900000000001
32,0,22.417,88.581,100.0
33,0,22.273000000000003,88.25999999999999,99.999
34,0,22.039,87.96000000000001,100.0
35,0,21.774,87.659,100.0
36,0,21.507,87.339,100.0
37,0,21.215,87.009,100.0
38,0,20.855,86.672,99.999
39,0,20.434,86.386,100.0
40,0,19.958,86.179,99.999
41,0,19.337,85.808,99.99900000000001
42,0,18.6,85.29400000000001,99.99900000000001
43,0,17.925,84.827,99.999
44,0,17.36,84.375,99.999
45,0,16.833,83.941,99.999
46,0,16.295,83.531,100.0
47,0,15.757,83.18,100.0
48,0,15.309,82.901,99.999
49,0,15.045,82.727,100.0
50,0,14.924,82.4,99.99900000000001
51,0,14.836,82.024,100.0
52,0,14.737,81.833,99.999
53,0,14.651,81.658,99.999
54,0,14.588,81.416,99.999
55,0,14.617,81.141,99.99900000000001
56,0,14.745,80.846,99.999
57,0,14.912,80.51800000000001,99.99900000000002
58,0,15.050999999999998,80.294,100.0
